iter	Passed	Remaining
0	0	46
1	1	55
2	1	55
3	2	51
4	2	49
5	3	47
6	3	44
7	3	43
8	4	42
9	4	40
10	4	40
11	5	40
12	5	39
13	6	39
14	6	38
15	7	37
16	7	37
17	7	36
18	8	35
19	8	35
20	9	34
21	9	33
22	9	33
23	10	32
24	10	32
25	11	32
26	11	31
27	12	31
28	12	30
29	12	29
30	13	29
31	13	29
32	14	28
33	14	28
34	15	28
35	15	28
36	16	27
37	16	26
38	16	26
39	17	26
40	17	25
41	18	25
42	18	24
43	19	24
44	19	23
45	19	23
46	20	22
47	20	22
48	20	21
49	21	21
50	21	20
51	22	20
52	22	20
53	22	19
54	23	18
55	23	18
56	24	18
57	24	17
58	24	17
59	25	16
60	25	16
61	26	15
62	26	15
63	26	15
64	27	14
65	27	14
66	28	13
67	28	13
68	28	12
69	29	12
70	29	12
71	30	11
72	30	11
73	31	10
74	31	10
75	32	10
76	32	9
77	32	9
78	33	8
79	33	8
80	34	8
81	34	7
82	34	7
83	35	6
84	35	6
85	36	5
86	36	5
87	37	5
88	37	4
89	37	4
90	38	3
91	38	3
92	39	2
93	39	2
94	40	2
95	40	1
96	40	1
97	41	0
98	41	0
99	42	0
